,datetime,open,high,low,close,volume,candle_body,ret1,ret3,ret7,breakout_20,breakdown_20,rsi,ema20,ema20_dist,future_return,target,open_lag1,open_lag2,open_lag3,open_lag4,open_lag5,high_lag1,high_lag2,high_lag3,high_lag4,high_lag5,low_lag1,low_lag2,low_lag3,low_lag4,low_lag5,close_lag1,close_lag2,close_lag3,close_lag4,close_lag5,candle_body_lag1,candle_body_lag2,candle_body_lag3,candle_body_lag4,candle_body_lag5,volume_lag1,volume_lag2,volume_lag3,volume_lag4,volume_lag5,rsi_lag1,rsi_lag2,rsi_lag3,rsi_lag4,rsi_lag5,ema20_dist_lag1,ema20_dist_lag2,ema20_dist_lag3,ema20_dist_lag4,ema20_dist_lag5,probability,position,strategy_return,strategy_equity
0,2026-01-01 00:00:00+00:00,87500.2,88779.3,87400.0,88731.8,1157.56340883,1231.6000000000058,0.014076555341079544,0.01832441805885332,0.01758985297827942,0.97905658066488,1.0510581440250932,49.525757876801514,88301.4868000937,0.004873227116554597,0.013548693929346605,1.0,88400.1,87135.1,87865.9,87814.4,87303.6,89067.4,89298.0,90298.9,87998.9,87913.3,87101.5,86736.5,86700.0,87364.3,87177.5,87500.1,88401.9,87135.1,87853.3,87802.6,-900.0,1266.7999999999884,-730.7999999999884,38.90000000000873,499.0,1496.3046063,1179.54982826,2800.12927258,659.23011207,416.75063851,44.596457372008494,47.768020333469316,42.427260998758,44.84102447037044,44.63454996968794,-0.00856699873420128,0.0007485170206116059,-0.013514491537555693,-0.006796419587029419,-0.008079228403400989,0.14243573,-1,-0.013548693929346605,0.9864513060706533
1,2026-01-02 00:00:00+00:00,88730.0,90900.0,88273.3,89934.0,1901.8826812,1204.0,0.013548693929346545,0.017331075463310253,0.03012934174535742,0.9893729372937293,1.0652986091204364,53.842412724168426,88456.96424770381,0.01669778931323123,0.007295349923277135,1.0,87500.2,88400.1,87135.1,87865.9,87814.4,88779.3,89067.4,89298.0,90298.9,87998.9,87400.0,87101.5,86736.5,86700.0,87364.3,88731.8,87500.1,88401.9,87135.1,87853.3,1231.6000000000058,-900.0,1266.7999999999884,-730.7999999999884,38.90000000000873,1157.56340883,1496.3046063,1179.54982826,2800.12927258,659.23011207,49.525757876801514,44.596457372008494,47.768020333469316,42.427260998758,44.84102447037044,0.004873227116554597,-0.00856699873420128,0.0007485170206116059,-0.013514491537555693,-0.006796419587029419,0.39811268,-1,-0.007295349923277135,0.9792547986105942
2,2026-01-03 00:00:00+00:00,89934.0,90677.5,89300.0,90590.1,1113.01038596,656.1000000000058,0.0072953499232770724,0.035314245355148266,0.0317473514451736,0.9965907590759077,1.0730703352467503,56.05143557728631,88660.12003363679,0.021768298595027834,0.010121415033209966,1.0,88730.0,87500.2,88400.1,87135.1,87865.9,90900.0,88779.3,89067.4,89298.0,90298.9,88273.3,87400.0,87101.5,86736.5,86700.0,89934.0,88731.8,87500.1,88401.9,87135.1,1204.0,1231.6000000000058,-900.0,1266.7999999999884,-730.7999999999884,1901.8826812,1157.56340883,1496.3046063,1179.54982826,2800.12927258,53.842412724168426,49.525757876801514,44.596457372008494,47.768020333469316,42.427260998758,0.01669778931323123,0.004873227116554597,-0.00856699873420128,0.0007485170206116059,-0.013514491537555693,0.10369259,-1,-0.010121415033209966,0.9693433543705939
3,2026-01-04 00:00:00+00:00,90590.1,91768.3,90590.0,91507.0,843.08377896,916.8999999999942,0.010121415033210068,0.03127627299344771,0.041588648349009105,0.9971526115227153,1.0839313254696086,59.004227232707365,88931.25145900472,0.028963367755851722,0.02578928387992169,1.0,89934.0,88730.0,87500.2,88400.1,87135.1,90677.5,90900.0,88779.3,89067.4,89298.0,89300.0,88273.3,87400.0,87101.5,86736.5,90590.1,89934.0,88731.8,87500.1,88401.9,656.1000000000058,1204.0,1231.6000000000058,-900.0,1266.7999999999884,1113.01038596,1901.8826812,1157.56340883,1496.3046063,1179.54982826,56.05143557728631,53.842412724168426,49.525757876801514,44.596457372008494,47.768020333469316,0.021768298595027834,0.01669778931323123,0.004873227116554597,-0.00856699873420128,0.0007485170206116059,0.11963146,-1,-0.02578928387992169,0.9443446834276151
4,2026-01-05 00:00:00+00:00,91507.0,94783.9,91489.5,93866.9,2070.65294098,2359.899999999994,0.025789283879921632,0.04373095825827833,0.0772570410775908,0.9903253611636575,1.111885138128484,65.44021805324729,89401.3132248138,0.049949901339332324,-0.0016523396426215342,0.0,90590.1,89934.0,88730.0,87500.2,88400.1,91768.3,90677.5,90900.0,88779.3,89067.4,90590.0,89300.0,88273.3,87400.0,87101.5,91507.0,90590.1,89934.0,88731.8,87500.1,916.8999999999942,656.1000000000058,1204.0,1231.6000000000058,-900.0,843.08377896,1113.01038596,1901.8826812,1157.56340883,1496.3046063,59.004227232707365,56.05143557728631,53.842412724168426,49.525757876801514,44.596457372008494,0.028963367755851722,0.021768298595027834,0.01669778931323123,0.004873227116554597,-0.00856699873420128,0.34371457,-1,0.0016523396426215342,0.9459050615843415
5,2026-01-06 00:00:00+00:00,93866.9,94401.8,91230.8,93711.8,1922.19143894,-155.09999999999127,-0.0016523396426215697,0.03445961534428155,0.06006545108193384,0.9886890073103134,1.1100479262367127,64.72105919245877,89811.83577483153,0.043423722402759074,-0.026021269466598655,0.0,91507.0,90590.1,89934.0,88730.0,87500.2,94783.9,91768.3,90677.5,90900.0,88779.3,91489.5,90590.0,89300.0,88273.3,87400.0,93866.9,91507.0,90590.1,89934.0,88731.8,2359.899999999994,916.8999999999942,656.1000000000058,1204.0,1231.6000000000058,2070.65294098,843.08377896,1113.01038596,1901.8826812,1157.56340883,65.44021805324729,59.004227232707365,56.05143557728631,53.842412724168426,49.525757876801514,0.049949901339332324,0.028963367755851722,0.021768298595027834,0.01669778931323123,0.004873227116554597,0.36186504,-1,0.026021269466598655,0.9705187120816473
6,2026-01-07 00:00:00+00:00,93711.8,93712.5,90591.9,91273.3,1459.64933288,-2438.5,-0.026021269466598662,-0.0025539029800998314,0.043122236431729855,0.9629620642324277,1.0728316701341138,54.56766763381714,89951.0228438952,0.014699967985906452,-0.0026754812195899248,0.0,93866.9,91507.0,90590.1,89934.0,88730.0,94401.8,94783.9,91768.3,90677.5,90900.0,91230.8,91489.5,90590.0,89300.0,88273.3,93711.8,93866.9,91507.0,90590.1,89934.0,-155.09999999999127,2359.899999999994,916.8999999999942,656.1000000000058,1204.0,1922.19143894,2070.65294098,843.08377896,1113.01038596,1901.8826812,64.72105919245877,65.44021805324729,59.004227232707365,56.05143557728631,53.842412724168426,0.043423722402759074,0.049949901339332324,0.028963367755851722,0.021768298595027834,0.01669778931323123,0.73598975,1,-0.0026754812195899248,0.9679221074942123
7,2026-01-08 00:00:00+00:00,91273.3,91584.7,89225.0,91029.1,1420.71893835,-244.1999999999971,-0.002675481219589937,-0.030232169167192957,0.025890379773654937,0.9603856773143964,1.0551480560185649,53.65980078541624,90053.69685876233,0.010831350352750912,-0.005667418440916242,0.0,93711.8,93866.9,91507.0,90590.1,89934.0,93712.5,94401.8,94783.9,91768.3,90677.5,90591.9,91230.8,91489.5,90590.0,89300.0,91273.3,93711.8,93866.9,91507.0,90590.1,-2438.5,-155.09999999999127,2359.899999999994,916.8999999999942,656.1000000000058,1459.64933288,1922.19143894,2070.65294098,843.08377896,1113.01038596,54.56766763381714,64.72105919245877,65.44021805324729,59.004227232707365,56.05143557728631,0.014699967985906452,0.043423722402759074,0.049949901339332324,0.028963367755851722,0.021768298595027834,0.48872688,0,-0.0,0.9679221074942123
8,2026-01-09 00:00:00+00:00,91029.1,91955.9,89603.4,90513.2,1421.7801819,-515.9000000000087,-0.005667418440916228,-0.03413230777767584,0.006440278426401491,0.9549427698163929,1.0491680904679883,51.702737557798294,90097.45906268973,0.004614346970884038,-0.0015246395000950137,0.0,91273.3,93711.8,93866.9,91507.0,90590.1,91584.7,93712.5,94401.8,94783.9,91768.3,89225.0,90591.9,91230.8,91489.5,90590.0,91029.1,91273.3,93711.8,93866.9,91507.0,-244.1999999999971,-2438.5,-155.09999999999127,2359.899999999994,916.8999999999942,1420.71893835,1459.64933288,1922.19143894,2070.65294098,843.08377896,53.65980078541624,54.56766763381714,64.72105919245877,65.44021805324729,59.004227232707365,0.010831350352750912,0.014699967985906452,0.043423722402759074,0.049949901339332324,0.028963367755851722,0.20048667,-1,0.0015246395000950137,0.9693978397723131
9,2026-01-10 00:00:00+00:00,90513.3,90699.7,90285.2,90375.2,321.48562471,-138.10000000000582,-0.0015246395000949597,-0.009839679292849124,-0.0023722238964303255,0.9534868263492007,1.0475684873550215,51.16517561872342,90123.9105805288,0.002788265820385848,0.005251440660712295,1.0,91029.1,91273.3,93711.8,93866.9,91507.0,91955.9,91584.7,93712.5,94401.8,94783.9,89603.4,89225.0,90591.9,91230.8,91489.5,90513.2,91029.1,91273.3,93711.8,93866.9,-515.9000000000087,-244.1999999999971,-2438.5,-155.09999999999127,2359.899999999994,1421.7801819,1420.71893835,1459.64933288,1922.19143894,2070.65294098,51.702737557798294,53.65980078541624,54.56766763381714,64.72105919245877,65.44021805324729,0.004614346970884038,0.010831350352750912,0.014699967985906452,0.043423722402759074,0.049949901339332324,0.7616483,1,0.005251440660712295,0.9744885750045
